ficha,sku,description,uom_primary,piece_count,length_inches,width_inches,height_inches,weight_lbs,assembly,rate
452,1720823-0567,BIRCH YEL FAS 6/4 RGH KD 10FT,PALLET,95,120,44,34,3120.45,false,18.22
163,1720824-0891,HEMLOCK DIM 2X8X14FT #2BTR STD,BUNDLE,160,168,40,28.5,2975.3,false,14.85
589,1720825-0234,ASH WHT FAS 4/4 RGH KD 9-11FT,PALLET,110,132,46,40,3540.6,false,15.92
734,1720826-0412,MDF ULTRALT C1-- 2440X1220X18MM,BUNDLE,85,96,48,52,4250.75,false,13.44
298,1720827-0178,CHERRY BLK SEL 5/4 RGH KD 8FT,PALLET,70,96,42,26,1980.2,false,21.35
641,1720828-0923,REDWOOD CLR VG 2X4X10FT KD HRT,BUNDLE,225,120,38,32,2430.85,false,19.78
812,1720829-0056,PARTICLEBOARD IND 3/4X49X97,PALLET,60,97,49,45,3890.4,false,11.56
445,1720830-0789,ALDER RED SEL 4/4 RGH KD 8-10FT,BUNDLE,140,120,40,30,2180.55,false,17.64
127,1720831-0345,WHITE OAK QS 4/4 RGH KD 10FT,PALLET,65,120,48,38,2890.7,false,22.4
568,1720832-0612,SOUTHERN PINE PT 4X4X12FT GC,BUNDLE,130,144,44,48,5120.35,false,13.28
185,1720833-0150,PINE CLR 2X6X8FT SELECT,BUNDLE,210,96,42,32,2650,FALSE,17.1
638,1720834-0164,HEM-FIR 2X4X16FT #2,BUNDLE,180,192,42,38,3950,FALSE,14.7
921,1720835-0178,CHERRY FAS 4/4 KD 8-10FT,PALLET,100,120,48,36,3200,FALSE,18.9
346,1720836-0192,ASH 5/4 FAS KD 11FT,PALLET,120,132,48,40,3800,FALSE,17.6
709,1720837-0206,SPRUCE 2X8X10FT #2,BUNDLE,150,120,48,36,3600,FALSE,15.2
174,1720838-0220,CEDAR RED 2X4X8FT S1S2E,BUNDLE,240,96,36,30,2200,FALSE,20.3
582,1720839-0234,BALTIC BIRCH PLY 18MM 5X5,PALLET,38,60,60,48,3100,FALSE,18.1
837,1720840-0248,PINE #2 2X10X12FT KD,BUNDLE,110,144,48,40,4100,FALSE,16.4
291,1720841-0262,OAK WHITE 4/4 FAS KD 10FT,PALLET,130,120,48,42,4350,FALSE,16.7
653,1720842-0276,MAPLE SOFT 4/4 KD 8FT,BUNDLE,170,96,42,32,2600,FALSE,15.5
